w_dist,critic_loss,gen_loss,lp
0.24329538643360138,-0.24329538643360138,0.3116579055786133,0.0
0.907187283039093,-0.907187283039093,1.0200836658477783,0.0
2.5816729068756104,-2.5816729068756104,2.6096434593200684,0.0
5.694158554077148,-5.694158554077148,5.368562698364258,0.0
10.276180267333984,-10.276180267333984,9.440309524536133,0.0
17.704605102539062,-17.704605102539062,14.813579559326172,0.0
26.717880249023438,-26.717880249023438,21.46573257446289,0.0
36.76354217529297,-36.76354217529297,29.265165328979492,0.0
47.143741607666016,-47.143741607666016,37.28363037109375,0.0
58.32925796508789,-58.32925796508789,45.106910705566406,0.0
67.90216064453125,-67.90216064453125,51.04175567626953,0.0
78.42481994628906,-78.42481994628906,55.10157775878906,0.0
85.47876739501953,-85.47867584228516,59.620094299316406,8.988128683995456e-05
97.50132751464844,-97.49923706054688,65.68282318115234,0.0020920925308018923
103.52593994140625,-103.51500701904297,74.5893783569336,0.010932516306638718
125.77864074707031,-125.73963165283203,87.67781066894531,0.03900777921080589
132.61572265625,-132.53585815429688,104.41378784179688,0.07986855506896973
170.07000732421875,-169.9087677001953,121.79259490966797,0.16123268008232117
189.6559295654297,-189.3657684326172,144.57452392578125,0.2901670038700104
247.64744567871094,-247.1268310546875,166.76052856445312,0.5206167101860046
277.64984130859375,-276.8201599121094,197.0496826171875,0.8296718597412109
320.569091796875,-319.3642578125,230.50265502929688,1.204837441444397
345.6318359375,-343.7531433105469,264.609130859375,1.8786906003952026
426.9925842285156,-424.06793212890625,297.6767272949219,2.924649953842163
414.1325988769531,-410.4737854003906,337.9834289550781,3.6588242053985596
517.345458984375,-511.8343200683594,370.8084716796875,5.511131763458252
571.67578125,-564.9686279296875,420.0767822265625,6.707169532775879
600.355224609375,-591.626708984375,467.6955261230469,8.728541374206543
700.9202880859375,-690.0130004882812,508.32611083984375,10.90727424621582
718.703369140625,-703.2142333984375,568.8785400390625,15.489154815673828
781.6015625,-763.01513671875,611.760009765625,18.586408615112305
873.7609252929688,-851.58544921875,667.260498046875,22.175464630126953
918.4737548828125,-889.5508422851562,704.7982177734375,28.92288589477539
